individual	population	Ances1	Ances2	Ances3	Ances4	Ances5	Ances6	Ances7	Ances8
GS000016193-ASM	Kyrgyz	1e-05	0.0007425	1e-05	0.021442	0.056386	0.4911105	0.119458	0.310841
Bishkek28446	Kyrgyz	1e-05	0.002826	1e-05	0.0147815	0.06773	0.5571715	0.081014	0.2764565
GS000016177-ASM	Kyrgyz	1e-05	1e-05	1e-05	0.019322	0.0832235	0.56067	0.101092	0.235662
GS000016187-ASM	Kyrgyz	1e-05	1e-05	1e-05	0.0146975	0.073184	0.5698615	0.0852345	0.256993
Bishkek28452	Kyrgyz	1e-05	1e-05	1e-05	0.008244	0.080292	0.5709365	0.0987815	0.241716
Bishkek28456	Kyrgyz	1e-05	1e-05	1e-05	0.0036465	0.073383	0.587701	0.0691295	0.26611
Bishkek28445	Kyrgyz	1e-05	1e-05	1e-05	0.003264	0.0777715	0.589641	0.076638	0.252655
GS000016197-ASM	Kyrgyz	1e-05	0.001278	0.00037	0.003604	0.099686	0.591862	0.0816815	0.2215085
Bishkek28442	Kyrgyz	1e-05	1e-05	1e-05	0.0032515	0.080351	0.5929205	0.079348	0.244099
Bishkek28443	Kyrgyz	1e-05	1e-05	1e-05	0.015144	0.070651	0.59445	0.065369	0.254356
Bishkek28454	Kyrgyz	1e-05	1e-05	1e-05	0.0182375	0.075804	0.594914	0.076834	0.2341805
GS000013757-ASM	Kyrgyz	1e-05	1e-05	1e-05	0.0139245	0.101798	0.5965985	0.04812	0.239529
Bishkek28451	Kyrgyz	1e-05	1e-05	1e-05	0.0076475	0.087206	0.6018275	0.047636	0.2556525
Bishkek28449	Kyrgyz	1e-05	1e-05	1e-05	0.016443	0.0727025	0.604243	0.065999	0.240582
GS000016195-ASM	Kyrgyz	0.0015115	1e-05	0.0001455	0.00043	0.08005	0.613437	0.068436	0.2359795
GS000016191-ASM	Kyrgyz	1e-05	1e-05	1e-05	0.017444	0.087348	0.6218185	0.0565255	0.216834
